
21. Printing statistics.

=== similarity_asic_transfer_broadcast ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
    37615        -    37615        - wires
    37646        -    37646        - wire bits
     1717        -     1717        - public wires
     1748        -     1748        - public wire bits
        3        -        3        - ports
       34        -       34        - port bits
        -        -        -        - memories
        -        -        -        - memory bits
        -        -        -        - processes
    27674 3.09E+05    27674 3.09E+05 cells
       12   135.13       12   135.13   sky130_fd_sc_hd__a2111o_1
       15  131.376       15  131.376   sky130_fd_sc_hd__a2111oi_0
        5   75.072        5   75.072   sky130_fd_sc_hd__a2111oi_2
        1   27.526        1   27.526   sky130_fd_sc_hd__a2111oi_4
       43  376.611       43  376.611   sky130_fd_sc_hd__a211o_1
      328 2.46E+03      328 2.46E+03   sky130_fd_sc_hd__a211oi_1
        4   50.048        4   50.048   sky130_fd_sc_hd__a211oi_2
        4   40.038        4   40.038   sky130_fd_sc_hd__a21bo_2
       20  150.144       20  150.144   sky130_fd_sc_hd__a21boi_0
       12   90.086       12   90.086   sky130_fd_sc_hd__a21boi_1
      407  3055.43      407  3055.43   sky130_fd_sc_hd__a21o_1
     1155 5.78E+03     1155 5.78E+03   sky130_fd_sc_hd__a21oi_1
        1    8.758        1    8.758   sky130_fd_sc_hd__a21oi_2
       14  140.134       14  140.134   sky130_fd_sc_hd__a221o_1
        8   70.067        8   70.067   sky130_fd_sc_hd__a221oi_1
       19   166.41       19   166.41   sky130_fd_sc_hd__a22o_1
       12   90.086       12   90.086   sky130_fd_sc_hd__a22oi_1
       11   96.342       11   96.342   sky130_fd_sc_hd__a2bb2oi_1
        6   60.058        6   60.058   sky130_fd_sc_hd__a311o_1
       22  192.685       22  192.685   sky130_fd_sc_hd__a311oi_1
        1   15.014        1   15.014   sky130_fd_sc_hd__a311oi_2
        9   78.826        9   78.826   sky130_fd_sc_hd__a31o_1
       18  157.651       18  157.651   sky130_fd_sc_hd__a31o_2
      123  769.488      123  769.488   sky130_fd_sc_hd__a31oi_1
       15  150.144       15  150.144   sky130_fd_sc_hd__a32o_1
        4   35.034        4   35.034   sky130_fd_sc_hd__a32oi_1
       13  130.125       13  130.125   sky130_fd_sc_hd__a41o_1
       39  341.578       39  341.578   sky130_fd_sc_hd__a41oi_1
        1   16.266        1   16.266   sky130_fd_sc_hd__a41oi_2
        1    6.256        1    6.256   sky130_fd_sc_hd__and2_0
     2533 1.58E+04     2533 1.58E+04   sky130_fd_sc_hd__and2_1
      105   656.88      105   656.88   sky130_fd_sc_hd__and3_1
       10   87.584       10   87.584   sky130_fd_sc_hd__and4_1
        1    10.01        1    10.01   sky130_fd_sc_hd__and4b_1
       43  161.405       43  161.405   sky130_fd_sc_hd__buf_1
        1    5.005        1    5.005   sky130_fd_sc_hd__buf_2
       40  300.288       40  300.288   sky130_fd_sc_hd__buf_4
      992 3.72E+03      992 3.72E+03   sky130_fd_sc_hd__clkbuf_1
        3   11.261        3   11.261   sky130_fd_sc_hd__clkinv_1
        1    3.754        1    3.754   sky130_fd_sc_hd__conb_1
     1674 3.35E+04     1674 3.35E+04   sky130_fd_sc_hd__dfxtp_1
     6610 1.32E+05     6610 1.32E+05   sky130_fd_sc_hd__fa_1
     3360  4.2E+04     3360  4.2E+04   sky130_fd_sc_hd__ha_1
      245  919.632      245  919.632   sky130_fd_sc_hd__inv_1
        2   22.522        2   22.522   sky130_fd_sc_hd__mux2_2
      860 8.61E+03      860 8.61E+03   sky130_fd_sc_hd__mux2i_1
      847 3.18E+03      847 3.18E+03   sky130_fd_sc_hd__nand2_1
      132  825.792      132  825.792   sky130_fd_sc_hd__nand2b_1
      231 1.16E+03      231 1.16E+03   sky130_fd_sc_hd__nand3_1
       25   187.68       25   187.68   sky130_fd_sc_hd__nand3b_1
       48  300.288       48  300.288   sky130_fd_sc_hd__nand4_1
        6    52.55        6    52.55   sky130_fd_sc_hd__nand4b_1
     1999  7.5E+03     1999  7.5E+03   sky130_fd_sc_hd__nor2_1
      506 3.17E+03      506 3.17E+03   sky130_fd_sc_hd__nor2b_1
      278 1.39E+03      278 1.39E+03   sky130_fd_sc_hd__nor3_1
       22  165.158       22  165.158   sky130_fd_sc_hd__nor3b_1
       46  287.776       46  287.776   sky130_fd_sc_hd__nor4_1
        7   61.309        7   61.309   sky130_fd_sc_hd__nor4b_1
        1    10.01        1    10.01   sky130_fd_sc_hd__nor4bb_1
