
21. Printing statistics.

=== similarity_asic_transfer_local ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
    39234        -    39234        - wires
    39265        -    39265        - wire bits
     2889        -     2889        - public wires
     2920        -     2920        - public wire bits
        3        -        3        - ports
       34        -       34        - port bits
        -        -        -        - memories
        -        -        -        - memory bits
        -        -        -        - processes
    29293 3.37E+05    29293 3.37E+05 cells
        4   45.043        4   45.043   sky130_fd_sc_hd__a2111o_1
       26  227.718       26  227.718   sky130_fd_sc_hd__a2111oi_0
        1    10.01        1    10.01   sky130_fd_sc_hd__a2111oi_1
       10  150.144       10  150.144   sky130_fd_sc_hd__a2111oi_2
        1   27.526        1   27.526   sky130_fd_sc_hd__a2111oi_4
       44   385.37       44   385.37   sky130_fd_sc_hd__a211o_1
      237 1.78E+03      237 1.78E+03   sky130_fd_sc_hd__a211oi_1
        4   50.048        4   50.048   sky130_fd_sc_hd__a211oi_2
        7   70.067        7   70.067   sky130_fd_sc_hd__a21bo_2
       22  165.158       22  165.158   sky130_fd_sc_hd__a21boi_0
        3   22.522        3   22.522   sky130_fd_sc_hd__a21boi_1
      532  3993.83      532  3993.83   sky130_fd_sc_hd__a21o_1
        1    8.758        1    8.758   sky130_fd_sc_hd__a21o_2
     1066 5.34E+03     1066 5.34E+03   sky130_fd_sc_hd__a21oi_1
        2   17.517        2   17.517   sky130_fd_sc_hd__a21oi_2
       11  110.106       11  110.106   sky130_fd_sc_hd__a221o_1
       13  113.859       13  113.859   sky130_fd_sc_hd__a221oi_1
        2   30.029        2   30.029   sky130_fd_sc_hd__a221oi_2
       10   87.584       10   87.584   sky130_fd_sc_hd__a22o_1
       13   97.594       13   97.594   sky130_fd_sc_hd__a22oi_1
       10   87.584       10   87.584   sky130_fd_sc_hd__a2bb2oi_1
       17  170.163       17  170.163   sky130_fd_sc_hd__a311o_1
       15  131.376       15  131.376   sky130_fd_sc_hd__a311oi_1
        2   30.029        2   30.029   sky130_fd_sc_hd__a311oi_2
       31   271.51       31   271.51   sky130_fd_sc_hd__a31o_2
      105   656.88      105   656.88   sky130_fd_sc_hd__a31oi_1
        2   25.024        2   25.024   sky130_fd_sc_hd__a31oi_2
       15  150.144       15  150.144   sky130_fd_sc_hd__a32o_1
        7   61.309        7   61.309   sky130_fd_sc_hd__a32oi_1
        4   40.038        4   40.038   sky130_fd_sc_hd__a41o_1
       21  183.926       21  183.926   sky130_fd_sc_hd__a41oi_1
     3697 2.31E+04     3697 2.31E+04   sky130_fd_sc_hd__and2_1
