field,value,unit,source_or_method
board_model,,,
fpga_device,,,
package,,,
oscillator_frequency,,MHz,
nextpnr_version,,,
target_frequency,,MHz,
worst_slack,,ns,
achieved_fmax,,MHz,
timing_closure,,PASS/FAIL,
programming_tool,,,
latency_measurement_method,,,
measurement_repetitions,,count,
core_latency_min,,us,
core_latency_median,,us,
core_latency_max,,us,
end_to_end_latency_median,,us,
power_instrument,,,
supply_voltage,,V,
idle_power,,W,
active_power,,W,
energy_per_inference,,J,
measurement_notes,,,
