workload,architecture,m,n,k,predicted_cycles,fixed_100mhz_ms,fmax_mhz,routed_latency_ms,route_ok
s64_qkv,r04_c04_k16,64,936,312,2568384,25.68384,52.963294982910156,48.49365963406826,True
s64_qkv,r04_c08_k32,64,936,312,1228032,12.28032,54.05990219116211,22.716134329239736,True
s64_qkv,r08_c04_k32,64,936,312,1228032,12.28032,53.21696472167969,23.075949679251824,True
s64_qkv,r08_c08_k16,64,936,312,642096,6.42096,49.704261779785156,12.918328871773769,True
s64_qkv,r08_c08_k32,64,936,312,614016,6.14016,49.54664611816406,12.392685441021174,True
s64_qkv,r08_c08_k64,64,936,312,599976,5.99976,45.82951354980469,13.091476507774473,True
s64_qkv,r08_c12_k32,64,936,312,409344,4.09344,46.57011413574219,8.78984317725414,True
s64_qkv,r12_c08_k32,64,936,312,460512,4.60512,46.236358642578125,9.959953887370444,True
s64_qkv,r10_c10_k32,64,936,312,431648,4.31648,47.38438034057617,9.109499731715841,True
s64_attn_out,r04_c04_k16,64,312,312,856128,8.56128,52.963294982910156,16.164553211356086,True
s64_attn_out,r04_c08_k32,64,312,312,409344,4.09344,54.05990219116211,7.572044776413245,True
s64_attn_out,r08_c04_k32,64,312,312,409344,4.09344,53.21696472167969,7.691983226417275,True
s64_attn_out,r08_c08_k16,64,312,312,214032,2.14032,49.704261779785156,4.3061096239245895,True
s64_attn_out,r08_c08_k32,64,312,312,204672,2.04672,49.54664611816406,4.130895147007058,True
s64_attn_out,r08_c08_k64,64,312,312,199992,1.99992,45.82951354980469,4.363825502591491,True
s64_attn_out,r08_c12_k32,64,312,312,136448,1.36448,46.57011413574219,2.9299477257513797,True
s64_attn_out,r12_c08_k32,64,312,312,153504,1.53504,46.236358642578125,3.319984629123481,True
s64_attn_out,r10_c10_k32,64,312,312,146944,1.46944,47.38438034057617,3.101106291647946,True
s64_ffn_expand,r04_c04_k16,64,1200,312,3292800,32.928,52.963294982910156,62.171358505215714,True
s64_ffn_expand,r04_c08_k32,64,1200,312,1574400,15.744,54.05990219116211,29.123249140050945,True
s64_ffn_expand,r08_c04_k32,64,1200,312,1574400,15.744,53.21696472167969,29.58455087083567,True
s64_ffn_expand,r08_c08_k16,64,1200,312,823200,8.232,49.704261779785156,16.561960092017653,True
s64_ffn_expand,r08_c08_k32,64,1200,312,787200,7.872,49.54664611816406,15.888058257719452,True
s64_ffn_expand,r08_c08_k64,64,1200,312,769200,7.692,45.82951354980469,16.783944240736506,True
s64_ffn_expand,r08_c12_k32,64,1200,312,524800,5.248,46.57011413574219,11.269029714428383,True
s64_ffn_expand,r12_c08_k32,64,1200,312,590400,5.904,46.236358642578125,12.769171650474927,True
s64_ffn_expand,r10_c10_k32,64,1200,312,551040,5.5104,47.38438034057617,11.629148593679798,True
s64_ffn_contract,r04_c04_k16,64,312,1200,3278496,32.78496,52.963294982910156,61.90128467380821,True
s64_ffn_contract,r04_c08_k32,64,312,1200,1569984,15.69984,54.05990219116211,29.04156197782885,True
s64_ffn_contract,r08_c04_k32,64,312,1200,1569984,15.69984,53.21696472167969,29.501569813515033,True
s64_ffn_contract,r08_c08_k16,64,312,1200,819624,8.19624,49.704261779785156,16.490014551093143,True
s64_ffn_contract,r08_c08_k32,64,312,1200,784992,7.84992,49.54664611816406,15.84349419187463,True
s64_ffn_contract,r08_c08_k64,64,312,1200,767208,7.67208,45.82951354980469,16.74047880011307,True
s64_ffn_contract,r08_c12_k32,64,312,1200,523328,5.23328,46.57011413574219,11.237421460351328,True
s64_ffn_contract,r12_c08_k32,64,312,1200,588744,5.88744,46.236358642578125,12.7333556812114,True
s64_ffn_contract,r10_c10_k32,64,312,1200,563584,5.63584,47.38438034057617,11.893877179552183,True
s128_qkv,r04_c04_k16,128,936,312,5136768,51.36768,52.963294982910156,96.98731926813652,True
s128_qkv,r04_c08_k32,128,936,312,2456064,24.56064,54.05990219116211,45.43226865847947,True
s128_qkv,r08_c04_k32,128,936,312,2456064,24.56064,53.21696472167969,46.15189935850365,True
s128_qkv,r08_c08_k16,128,936,312,1284192,12.84192,49.704261779785156,25.836657743547537,True
s128_qkv,r08_c08_k32,128,936,312,1228032,12.28032,49.54664611816406,24.785370882042347,True
s128_qkv,r08_c08_k64,128,936,312,1199952,11.99952,45.82951354980469,26.182953015548946,True
s128_qkv,r08_c12_k32,128,936,312,818688,8.18688,46.57011413574219,17.57968635450828,True
s128_qkv,r12_c08_k32,128,936,312,844272,8.44272,46.236358642578125,18.259915460179148,True
s128_qkv,r10_c10_k32,128,936,312,801632,8.01632,47.38438034057617,16.917642358900846,True
s128_attn_out,r04_c04_k16,128,312,312,1712256,17.12256,52.963294982910156,32.32910642271217,True
s128_attn_out,r04_c08_k32,128,312,312,818688,8.18688,54.05990219116211,15.14408955282649,True
s128_attn_out,r08_c04_k32,128,312,312,818688,8.18688,53.21696472167969,15.38396645283455,True
s128_attn_out,r08_c08_k16,128,312,312,428064,4.28064,49.704261779785156,8.612219247849179,True
s128_attn_out,r08_c08_k32,128,312,312,409344,4.09344,49.54664611816406,8.261790294014116,True
s128_attn_out,r08_c08_k64,128,312,312,399984,3.99984,45.82951354980469,8.727651005182983,True
s128_attn_out,r08_c12_k32,128,312,312,272896,2.72896,46.57011413574219,5.8598954515027595,True
s128_attn_out,r12_c08_k32,128,312,312,281424,2.81424,46.236358642578125,6.0866384867263825,True
s128_attn_out,r10_c10_k32,128,312,312,272896,2.72896,47.38438034057617,5.759197398774757,True
s128_ffn_expand,r04_c04_k16,128,1200,312,6585600,65.856,52.963294982910156,124.34271701043143,True
