platform,split,rows,cols,pe_count,sqrt_pe,seed,broadcast_period_ns,local_period_ns,q,broadcast_total_cells,local_total_cells,broadcast_dff_cells,local_dff_cells,broadcast_area_um2,local_area_um2,broadcast_wire_length_um,local_wire_length_um
nangate45,discovery,2,4,8,2.8284271247461903,11,1.59,1.42,0.10691823899371078,5192,5672,301,485,10877.272,12000.058,60968.0,64157.0
nangate45,discovery,2,4,8,2.8284271247461903,29,1.59,1.42,0.10691823899371078,5192,5672,301,485,10877.272,12000.058,60550.0,64344.0
nangate45,discovery,2,4,8,2.8284271247461903,47,1.59,1.42,0.10691823899371078,5192,5672,301,485,10877.272,12000.058,60261.0,63977.0
nangate45,discovery,4,2,8,2.8284271247461903,11,1.56,1.48,0.05128205128205133,5194,5564,297,473,10823.008,11786.992,56803.0,64894.0
nangate45,discovery,4,2,8,2.8284271247461903,29,1.57,1.48,0.05732484076433126,5194,5564,297,473,10823.008,11786.992,56668.0,64091.0
nangate45,discovery,4,2,8,2.8284271247461903,47,1.55,1.49,0.038709677419354875,5194,5564,297,473,10823.008,11786.992,57872.0,64636.0
nangate45,discovery,3,6,18,4.242640687119285,11,1.73,1.57,0.09248554913294793,11497,12542,643,1076,24158.918,26722.626,153345.0,157141.0
nangate45,discovery,3,6,18,4.242640687119285,29,1.74,1.56,0.10344827586206894,11497,12542,643,1076,24158.918,26722.626,151000.0,162498.0
nangate45,discovery,3,6,18,4.242640687119285,47,1.7,1.6,0.05882352941176463,11497,12542,643,1076,24158.918,26722.626,153461.0,158513.0
nangate45,discovery,6,3,18,4.242640687119285,11,1.63,1.46,0.10429447852760733,11251,12285,634,1050,23724.008,26298.356,141978.0,152913.0
nangate45,discovery,6,3,18,4.242640687119285,29,1.63,1.47,0.09815950920245395,11251,12285,634,1050,23724.008,26298.356,141646.0,152070.0
nangate45,discovery,6,3,18,4.242640687119285,47,1.68,1.47,0.12499999999999999,11251,12285,634,1050,23724.008,26298.356,141159.0,150619.0
nangate45,discovery,5,5,25,5.0,11,1.67,1.51,0.09580838323353288,15585,17039,864,1411,32965.912,36302.616,212561.0,222507.0
nangate45,discovery,5,5,25,5.0,29,1.69,1.51,0.10650887573964493,15585,17039,864,1411,32965.912,36302.616,209685.0,222691.0
nangate45,discovery,5,5,25,5.0,47,1.68,1.5,0.10714285714285711,15585,17039,864,1411,32965.912,36302.616,207225.0,223824.0
nangate45,discovery,7,7,49,7.0,11,1.72,1.52,0.11627906976744183,30479,33136,1650,2743,64235.808,70919.324,425599.0,474502.0
nangate45,discovery,7,7,49,7.0,29,1.72,1.53,0.11046511627906974,30479,33136,1650,2743,64235.808,70919.324,429219.0,474748.0
nangate45,discovery,7,7,49,7.0,47,1.69,1.52,0.10059171597633132,30479,33136,1650,2743,64235.808,70919.324,432105.0,473371.0
sky130hd,bridge,2,4,8,2.8284271247461903,11,7.2,6.35,0.11805555555555562,4674,5075,301,485,51580.72,56847.0208,124098.0,147326.0
sky130hd,bridge,2,4,8,2.8284271247461903,29,7.37,6.4,0.13161465400271366,4674,5075,301,485,51580.72,56847.0208,126021.0,143778.0
sky130hd,bridge,2,4,8,2.8284271247461903,47,7.57,6.5,0.14134742404227216,4674,5075,301,485,51580.72,56847.0208,124165.0,150064.0
