platform,split,rows,cols,pe_count,sqrt_pe,complete_seeds,median_q,median_broadcast_period_ns,median_local_period_ns,median_broadcast_area_um2,median_local_area_um2,median_broadcast_dff_cells,median_local_dff_cells,median_broadcast_wire_length_um,median_local_wire_length_um
nangate45,discovery,2,4,8,2.8284271247461903,3,0.10691823899371078,1.59,1.42,10877.272,12000.058,301.0,485.0,60550.0,64157.0
nangate45,discovery,3,6,18,4.242640687119285,3,0.09248554913294793,1.73,1.57,24158.918,26722.626,643.0,1076.0,153345.0,158513.0
nangate45,discovery,4,2,8,2.8284271247461903,3,0.05128205128205133,1.56,1.48,10823.008,11786.992,297.0,473.0,56803.0,64636.0
nangate45,discovery,5,5,25,5.0,3,0.10650887573964493,1.68,1.51,32965.912,36302.616,864.0,1411.0,209685.0,222691.0
nangate45,discovery,6,3,18,4.242640687119285,3,0.10429447852760733,1.63,1.47,23724.008,26298.356,634.0,1050.0,141646.0,152070.0
nangate45,discovery,7,7,49,7.0,3,0.11046511627906974,1.72,1.52,64235.808,70919.324,1650.0,2743.0,429219.0,474502.0
sky130hd,bridge,2,4,8,2.8284271247461903,3,0.13161465400271366,7.37,6.4,51580.72,56847.0208,301.0,485.0,124165.0,147326.0
sky130hd,bridge,3,6,18,4.242640687119285,3,0.04216073781291176,7.59,7.23,114452.2688,125260.1344,643.0,1076.0,310296.0,333896.0
sky130hd,holdout,3,8,24,4.898979485566356,3,0.07614213197969538,7.88,7.23,152588.8448,168361.472,850.0,1482.0,411758.0,466027.0
sky130hd,bridge,4,2,8,2.8284271247461903,3,0.08390646492434656,7.3,6.67,50509.6928,55316.8032,297.0,473.0,117072.0,133658.0
sky130hd,bridge,5,5,25,5.0,3,0.12172774869109944,7.64,6.71,156657.7472,170983.9872,864.0,1411.0,428409.0,482876.0
sky130hd,holdout,5,9,45,6.708203932499369,3,0.13138686131386873,8.22,7.19,279071.4016,306774.2208,1524.0,2591.0,789007.0,905316.0
sky130hd,bridge,6,3,18,4.242640687119285,3,0.02695417789757415,7.42,7.25,112693.0816,123149.36,634.0,1050.0,295158.0,322954.0
sky130hd,bridge,7,7,49,7.0,3,0.1354916067146283,8.34,7.21,304852.3776,330998.704,1650.0,2743.0,876730.0,993890.0
sky130hd,holdout,8,3,24,4.898979485566356,3,0.13214739517153748,7.87,6.86,149199.344,164484.0032,830.0,1418.0,416283.0,441166.0
sky130hd,holdout,9,5,45,6.708203932499369,3,0.1282051282051282,8.1,7.07,277757.6416,303501.0816,1512.0,2545.0,771523.0,841985.0
