name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric,phase
r08_c11_k320,broadcast,8,11,320,88,38,True,44.76275634765625,22.34000051813966,88,5,0,3008,35.23987817764282,,post_route_report_json,deployment
r08_c11_k448,broadcast,8,11,448,88,38,True,48.40739440917969,20.658000956365584,88,5,0,3008,34.673760652542114,,post_route_report_json,deployment
r11_c08_k320,broadcast,11,8,320,88,38,True,47.79886245727539,20.920999969274195,88,5,0,3012,37.116822719573975,,post_route_report_json,deployment
r11_c08_k448,broadcast,11,8,448,88,38,True,49.478004455566406,20.211001049932147,88,5,0,3012,48.40567111968994,,post_route_report_json,deployment
r10_c13_k320,broadcast,10,13,320,130,38,True,42.94425964355469,23.285999300027182,130,6,0,4379,57.73143792152405,,post_route_report_json,deployment
r10_c13_k448,broadcast,10,13,448,130,38,True,40.47763442993164,24.705001022997994,130,6,0,4379,125.85979628562927,,post_route_report_json,deployment
r13_c10_k320,broadcast,13,10,320,130,38,True,43.94831848144531,22.753999118810277,130,6,0,4382,117.3468554019928,,post_route_report_json,deployment
r13_c10_k448,broadcast,13,10,448,130,38,True,46.06596755981445,21.707999483600293,130,6,0,4382,60.47547364234924,,post_route_report_json,deployment
r08_c11_k320,broadcast,8,11,320,88,39,True,46.14674758911133,21.66999956105157,88,5,0,3008,29.867913484573364,,post_route_report_json,deployment
r08_c11_k448,broadcast,8,11,448,88,39,True,45.07956314086914,22.18300112791909,88,5,0,3008,27.435766220092773,,post_route_report_json,deployment
r11_c08_k320,broadcast,11,8,320,88,39,True,47.501426696777344,21.05199926695767,88,5,0,3012,28.032188653945923,,post_route_report_json,deployment
r11_c08_k448,broadcast,11,8,448,88,39,True,46.82524490356445,21.356001491491988,88,5,0,3012,29.123473167419434,,post_route_report_json,deployment
r10_c13_k320,broadcast,10,13,320,130,39,True,42.83755874633789,23.344000668233416,130,6,0,4379,56.046154737472534,,post_route_report_json,deployment
r10_c13_k448,broadcast,10,13,448,130,39,True,44.401031494140625,22.52199929481289,130,6,0,4379,48.392478704452515,,post_route_report_json,deployment
r13_c10_k320,broadcast,13,10,320,130,39,True,43.42162322998047,23.03000039182206,130,6,0,4382,46.99851632118225,,post_route_report_json,deployment
r13_c10_k448,broadcast,13,10,448,130,39,True,43.529361724853516,22.97299938191008,130,6,0,4382,50.57215905189514,,post_route_report_json,deployment
