name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric
r08_c08_k128,broadcast,8,8,128,64,29,True,49.05086898803711,20.386998653252963,64,4,0,2217,20.282775163650513,,post_route_report_json
r08_c08_k256,broadcast,8,8,256,64,29,True,49.54174041748047,20.184999387852688,64,4,0,2219,18.245437145233154,,post_route_report_json
r10_c12_k128,broadcast,10,12,128,120,29,True,45.382347106933594,22.034999592324265,120,6,0,4049,44.112690925598145,,post_route_report_json
r10_c12_k256,broadcast,10,12,256,120,29,True,47.42033386230469,21.087999989703125,120,6,0,4051,35.779709815979004,,post_route_report_json
r12_c10_k128,broadcast,12,10,128,120,29,True,47.067684173583984,21.245999618592553,120,6,0,4050,41.53825330734253,,post_route_report_json
r12_c10_k256,broadcast,12,10,256,120,29,True,44.17156219482422,22.63900007858845,120,6,0,4052,39.46387481689453,,post_route_report_json
r10_c14_k256,broadcast,10,14,256,140,29,True,46.73115539550781,21.399000121793016,140,7,0,4704,55.194480180740356,,post_route_report_json
r14_c10_k256,broadcast,14,10,256,140,29,True,44.40300369262695,22.52099896039349,140,7,0,4707,45.78240752220154,,post_route_report_json
r08_c08_k128,broadcast,8,8,128,64,30,True,51.773231506347656,19.315000646181318,64,4,0,2217,13.869927644729614,,post_route_report_json
r08_c08_k256,broadcast,8,8,256,64,30,True,49.975013732910156,20.009999503841414,64,4,0,2219,11.9140465259552,,post_route_report_json
r10_c12_k128,broadcast,10,12,128,120,30,True,45.68922424316406,21.886998883541303,120,6,0,4049,29.39142870903015,,post_route_report_json
r10_c12_k256,broadcast,10,12,256,120,30,True,46.39079666137695,21.555999723379582,120,6,0,4051,32.67369031906128,,post_route_report_json
r12_c10_k128,broadcast,12,10,128,120,30,True,46.90651321411133,21.3190009548431,120,6,0,4050,30.405613660812378,,post_route_report_json
r12_c10_k256,broadcast,12,10,256,120,30,True,49.036434173583984,20.39299995713599,120,6,0,4052,75.90258502960205,,post_route_report_json
r10_c14_k256,broadcast,10,14,256,140,30,True,47.458595275878906,21.070998713446023,140,7,0,4704,32.86790680885315,,post_route_report_json
r14_c10_k256,broadcast,14,10,256,140,30,True,46.51595687866211,21.497999119066215,140,7,0,4707,57.442522287368774,,post_route_report_json
r08_c08_k128,broadcast,8,8,128,64,31,True,50.40322494506836,19.840000339062506,64,4,0,2217,24.138885259628296,,post_route_report_json
r08_c08_k256,broadcast,8,8,256,64,31,True,52.3094596862793,19.117001131294398,64,4,0,2219,25.404494524002075,,post_route_report_json
r10_c12_k128,broadcast,10,12,128,120,31,True,46.40802001953125,21.547999668573247,120,6,0,4049,49.46923017501831,,post_route_report_json
r10_c12_k256,broadcast,10,12,256,120,31,True,44.85310745239258,22.294999316633913,120,6,0,4051,50.19021439552307,,post_route_report_json
r12_c10_k128,broadcast,12,10,128,120,31,True,45.41532516479492,22.01899901346915,120,6,0,4050,49.66915678977966,,post_route_report_json
r12_c10_k256,broadcast,12,10,256,120,31,True,45.320640563964844,22.065001455321788,120,6,0,4052,52.081273317337036,,post_route_report_json
r10_c14_k256,broadcast,10,14,256,140,31,True,43.704383850097656,22.880999842714075,140,7,0,4704,64.00148367881775,,post_route_report_json
r14_c10_k256,broadcast,14,10,256,140,31,True,46.446815490722656,21.53000134529656,140,7,0,4707,61.508352518081665,,post_route_report_json
r08_c08_k128,local,8,8,128,64,29,True,57.4283561706543,17.413000592048927,64,4,0,3691,20.372462034225464,,post_route_report_json
r08_c08_k256,local,8,8,256,64,29,True,60.21194839477539,16.607999353277368,64,4,0,3694,20.200382232666016,,post_route_report_json
r10_c12_k128,local,10,12,128,120,29,True,60.77180099487305,16.45500024072619,120,6,0,6858,50.44141745567322,,post_route_report_json
r10_c12_k256,local,10,12,256,120,29,True,59.06674575805664,16.92999990377159,120,6,0,6861,44.952173948287964,,post_route_report_json
r12_c10_k128,local,12,10,128,120,29,True,61.263248443603516,16.322999929077543,120,6,0,6860,47.647778034210205,,post_route_report_json
r12_c10_k256,local,12,10,256,120,29,True,60.43756866455078,16.54599981594797,120,6,0,6863,51.538092613220215,,post_route_report_json
r10_c14_k256,local,10,14,256,140,29,True,50.06508255004883,19.97400082183675,140,7,0,8033,67.85507011413574,,post_route_report_json
r14_c10_k256,local,14,10,256,140,29,True,56.48760223388672,17.70299960439998,140,7,0,8039,61.64279890060425,,post_route_report_json
