name,topology,rows,cols,k_tile,pe_count,seed_count,median_period_ns,median_fmax_mhz,seed_cv_pct,median_ff,median_bram
r08_c08_k128,broadcast,8,8,128,64,3,19.840000339062506,50.40322494506836,2.700799226778098,2217.0,4.0
r08_c08_k128,local,8,8,128,64,3,16.78599950924721,59.573455810546875,2.145862108561124,3691.0,4.0
r08_c08_k256,broadcast,8,8,256,64,3,20.009999503841414,49.975013732910156,2.897289382477471,2219.0,4.0
r08_c08_k256,local,8,8,256,64,3,17.11700023108316,58.421451568603516,1.8083241501058216,3694.0,4.0
r10_c12_k128,broadcast,10,12,128,120,3,21.886998883541303,45.68922424316406,1.1440246653128325,4049.0,6.0
r10_c12_k128,local,10,12,128,120,3,16.45500024072619,60.77180099487305,3.1772669206612627,6858.0,6.0
r10_c12_k256,broadcast,10,12,256,120,3,21.555999723379582,46.39079666137695,2.811326189988708,4051.0,6.0
r10_c12_k256,local,10,12,256,120,3,16.92999990377159,59.06674575805664,4.217703445228958,6861.0,6.0
r12_c10_k128,broadcast,12,10,128,120,3,21.3190009548431,46.90651321411133,1.9824483151464698,4050.0,6.0
r12_c10_k128,local,12,10,128,120,3,17.517000700094666,57.087398529052734,4.853981710534673,6860.0,6.0
r12_c10_k256,broadcast,12,10,256,120,3,22.065001455321788,45.320640563964844,5.3775506467467675,4052.0,6.0
r12_c10_k256,local,12,10,256,120,3,16.81599988402051,59.4671745300293,3.847445736981555,6863.0,6.0
r10_c14_k256,broadcast,10,14,256,140,3,21.399000121793016,46.73115539550781,4.427014805502556,4704.0,7.0
r10_c14_k256,local,10,14,256,140,3,17.46899956284852,57.2442626953125,9.345783740979646,8033.0,7.0
r14_c10_k256,broadcast,14,10,256,140,3,21.53000134529656,46.446815490722656,2.6618765008573906,4707.0,7.0
r14_c10_k256,local,14,10,256,140,3,16.846999777253338,59.357749938964844,3.4280040966776357,8039.0,7.0
