workload,broadcast_baseline_ms,broadcast_baseline_arch,guided_actual_ms,guided_arch,guided_topology,oracle_ms,oracle_arch,oracle_topology,improvement_pct,oracle_regret_pct
s64_qkv,6.342834828100424,r10_c14_k256,5.554827418993699,r10_c14_k256,local,5.368464949019549,r14_c10_k256,local,14.185992645105049,3.4714293889203107
s64_attn_out,2.1771137360363886,r14_c10_k256,1.906881054281419,r10_c14_k256,local,1.827562535836442,r14_c10_k256,local,14.171449296652794,4.340126090879526
s64_ffn_expand,8.141549182337858,r10_c14_k256,7.130076985574001,r10_c14_k256,local,6.8533595093866575,r14_c10_k256,local,14.185992645105072,4.0376909427900065
s64_ffn_contract,8.326082120253087,r14_c10_k256,7.1212726097943255,r10_c14_k256,local,6.8250565497608715,r14_c10_k256,local,16.918457928456675,4.340126090879526
s128_qkv,11.779550395043644,r10_c14_k256,10.31610806384544,r10_c14_k256,local,10.31610806384544,r10_c14_k256,local,14.185992645105049,0.0
s128_attn_out,4.043726255014983,r10_c14_k256,3.5413505293797782,r10_c14_k256,local,3.5413505293797782,r10_c14_k256,local,14.185992645105072,0.0
s128_ffn_expand,15.12001991005602,r10_c14_k256,13.24157154463743,r10_c14_k256,local,13.24157154463743,r10_c14_k256,local,14.185992645105049,0.0
s128_ffn_contract,15.464693605017741,r10_c14_k256,13.225220561046605,r10_c14_k256,local,13.225220561046605,r10_c14_k256,local,16.933351195421654,0.0
s256_qkv,23.55910079008729,r10_c14_k256,20.63221612769088,r10_c14_k256,local,20.400166806274285,r14_c10_k256,local,14.185992645105049,1.1374873726288648
s256_attn_out,8.087452510029966,r10_c14_k256,7.0827010587595565,r10_c14_k256,local,6.94473763617848,r14_c10_k256,local,14.185992645105072,1.9865894121378957
s256_ffn_expand,30.24003982011204,r10_c14_k256,26.48314308927486,r10_c14_k256,local,26.0427661356693,r14_c10_k256,local,14.185992645105049,1.6909761094940023
s256_ffn_contract,30.929387210035483,r10_c14_k256,26.45044112209321,r10_c14_k256,local,25.935214889091313,r14_c10_k256,local,16.933351195421654,1.9865894121378957
