name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric
r04_c04_k16,broadcast,4,4,16,16,23,True,54.4810676574707,18.355000057765483,16,2,0,597,4.772606611251831,,post_route_report_json
r04_c08_k32,broadcast,4,8,32,32,23,True,53.12367248535156,18.823999795491215,32,3,0,1129,7.44109320640564,,post_route_report_json
r08_c04_k32,broadcast,8,4,32,32,23,True,54.29766082763672,18.41699964155757,32,3,0,1138,8.11359167098999,,post_route_report_json
r08_c08_k16,broadcast,8,8,16,64,23,True,49.372962951660156,20.254000169669283,64,4,0,2152,13.631425857543945,,post_route_report_json
r08_c08_k64,broadcast,8,8,64,64,23,True,50.243682861328125,19.90299960215867,64,4,0,2206,14.691901445388794,,post_route_report_json
r08_c12_k32,broadcast,8,12,32,96,23,True,48.48249816894531,20.62599985081903,96,5,0,3203,26.340373516082764,,post_route_report_json
r12_c08_k32,broadcast,12,8,32,96,23,True,46.886722564697266,21.327999597756843,96,5,0,3217,22.325342655181885,,post_route_report_json
r10_c12_k64,broadcast,10,12,64,120,23,True,47.30369186401367,21.13999902744908,120,6,0,4036,27.009049892425537,,post_route_report_json
r12_c10_k64,broadcast,12,10,64,120,23,True,47.13201904296875,21.216998980848498,120,6,0,4035,27.305429220199585,,post_route_report_json
r04_c04_k16,broadcast,4,4,16,16,24,True,56.88605499267578,17.57900069056911,16,2,0,597,5.51467490196228,,post_route_report_json
r04_c08_k32,broadcast,4,8,32,32,24,True,54.07743835449219,18.492000183971925,32,3,0,1129,10.51324462890625,,post_route_report_json
r08_c04_k32,broadcast,8,4,32,32,24,True,53.688392639160156,18.62599997584213,32,3,0,1138,8.951322793960571,,post_route_report_json
r08_c08_k16,broadcast,8,8,16,64,24,True,48.155635833740234,20.766001376298934,64,4,0,2152,21.137070655822754,,post_route_report_json
r08_c08_k64,broadcast,8,8,64,64,24,True,50.33979415893555,19.864999782135488,64,4,0,2206,21.192392826080322,,post_route_report_json
