name,topology,rows,cols,k_tile,pe_count,seed_count,median_period_ns,median_fmax_mhz,seed_cv_pct
r04_c04_k16,broadcast,4,4,16,16,3,17.586000967906273,56.86341094970703,2.5000916884314592
r04_c04_k16,local,4,4,16,16,3,16.07699964367917,62.200660705566406,3.462062610791268
r04_c08_k32,broadcast,4,8,32,32,3,18.492000183971925,54.07743835449219,1.5558447616174251
r04_c08_k32,local,4,8,32,32,3,16.878000074428435,59.24872589111328,2.5625187163751892
r08_c04_k32,broadcast,8,4,32,32,3,18.41699964155757,54.29766082763672,0.8615343589931086
r08_c04_k32,local,8,4,32,32,3,16.71800057447719,59.815765380859375,1.5562621134339754
r08_c08_k16,broadcast,8,8,16,64,3,20.254000169669283,49.372962951660156,2.0632594082861355
r08_c08_k16,local,8,8,16,64,3,17.20700118787804,58.11587905883789,0.8266873135924944
r08_c08_k64,broadcast,8,8,64,64,3,19.90299960215867,50.243682861328125,2.0621456223321566
r08_c08_k64,local,8,8,64,64,3,17.370000477743925,57.57052230834961,2.0050405625987695
r08_c12_k32,broadcast,8,12,32,96,3,20.62599985081903,48.48249816894531,3.7176314286206
r08_c12_k32,local,8,12,32,96,3,17.52199908427663,57.07111358642578,4.380238047657009
r12_c08_k32,broadcast,12,8,32,96,3,21.327999597756843,46.886722564697266,1.6746040681124275
r12_c08_k32,local,12,8,32,96,3,17.003000613458173,58.813148498535156,3.1536720989899827
r10_c12_k64,broadcast,10,12,64,120,3,21.14800091354356,47.28579330444336,3.1527469329359263
r10_c12_k64,local,10,12,64,120,3,17.662999901626662,56.61552429199219,2.6646549569836697
r12_c10_k64,broadcast,12,10,64,120,3,21.216998980848498,47.13201904296875,3.703416630740535
r12_c10_k64,local,12,10,64,120,3,17.413000592048927,57.4283561706543,5.078794989477428
