name,k,predicted_choice,actual_choice,choice_correct,regret_pct,broadcast_latency_ms,local_latency_ms
r04_c04_k16,8,broadcast,broadcast,True,0.0,0.00036930602032603173,0.00045015599002301673
r04_c04_k16,16,broadcast,broadcast,True,0.0,0.0006506820358125321,0.0007073879843218834
r04_c04_k16,32,broadcast,broadcast,True,0.0,0.0012661920696892517,0.0013826219693564086
r04_c04_k16,64,broadcast,broadcast,True,0.0,0.002497212137442691,0.0027330899394254586
r04_c04_k16,128,broadcast,broadcast,True,0.0,0.004959252272949569,0.0054340258795635595
r04_c04_k16,256,broadcast,broadcast,True,0.0,0.009883332543963326,0.01083589775983976
r04_c04_k16,512,broadcast,broadcast,True,0.0,0.01973149308599084,0.02163964152039216
r04_c04_k16,1024,broadcast,broadcast,True,0.0,0.039427814170045865,0.04324712904149697
r04_c04_k16,3072,broadcast,broadcast,True,0.0,0.11821309850626596,0.12967707912591617
r04_c08_k32,8,broadcast,broadcast,True,0.0,0.00038833200386341043,0.00054009600238171
r04_c08_k32,16,broadcast,broadcast,True,0.0,0.0006842040068069612,0.0008101440035725649
r04_c08_k32,32,broadcast,broadcast,True,0.0,0.0012759480126940629,0.001350240005954275
r04_c08_k32,64,broadcast,broadcast,True,0.0,0.002514912025020182,0.002666724011759693
r04_c08_k32,128,broadcast,broadcast,True,0.0,0.00499284004967242,0.005299692023370529
r04_c08_k32,256,broadcast,broadcast,True,0.0,0.009948696098976896,0.010565628046592201
r04_c08_k32,512,broadcast,broadcast,True,0.0,0.019860408197585847,0.021097500093035546
r04_c08_k32,1024,broadcast,broadcast,True,0.0,0.039683832394803754,0.042161244185922236
r04_c08_k32,3072,broadcast,broadcast,True,0.0,0.11897752918367537,0.12641622055746898
r08_c04_k32,8,broadcast,broadcast,True,0.0,0.000386756992472709,0.0005349760183832702
r08_c04_k32,16,broadcast,broadcast,True,0.0,0.0006814289867376302,0.0008024640275749053
r08_c04_k32,32,broadcast,broadcast,True,0.0,0.0012707729752674723,0.0013374400459581755
r08_c04_k32,64,broadcast,broadcast,True,0.0,0.0025047119512518297,0.0026414440907673964
r08_c04_k32,128,broadcast,broadcast,True,0.0,0.004972589903220544,0.005249452180385838
r08_c04_k32,256,broadcast,broadcast,True,0.0,0.009908345807157973,0.010465468359622723
r08_c04_k32,512,broadcast,broadcast,True,0.0,0.01977985761503283,0.02089750071809649
r08_c04_k32,1024,broadcast,broadcast,True,0.0,0.03952288123078255,0.04176156543504403
r08_c04_k32,3072,broadcast,broadcast,True,0.0,0.11849497569378141,0.12521782430283418
r08_c08_k16,8,broadcast,broadcast,True,0.0,0.00042533400356305494,0.0006194520427636094
r08_c08_k16,16,broadcast,broadcast,True,0.0,0.0007493980062777634,0.000894764061769658
r08_c08_k16,32,broadcast,broadcast,True,0.0,0.0014582880122161884,0.00175511412116356
r08_c08_k16,64,broadcast,broadcast,True,0.0,0.002876068024093038,0.0034758142399513637
r08_c08_k16,128,broadcast,broadcast,True,0.0,0.005711628047846738,0.006917214477526972
r08_c08_k16,256,broadcast,broadcast,True,0.0,0.011382748095354136,0.013800014952678187
r08_c08_k16,512,broadcast,broadcast,True,0.0,0.022724988190368934,0.02756561590298062
r08_c08_k16,1024,broadcast,broadcast,True,0.0,0.045409468380398534,0.05509681780358548
r08_c08_k16,3072,broadcast,broadcast,True,0.0,0.1361473891405169,0.16522162540600493
r08_c08_k64,8,broadcast,broadcast,True,0.0,0.00041796299164533206,0.0006253200171987813
r08_c08_k64,16,broadcast,broadcast,True,0.0,0.0007364109852798708,0.000903240024842684
r08_c08_k64,32,broadcast,broadcast,True,0.0,0.0013733069725489482,0.0014590800401304896
r08_c08_k64,64,broadcast,local,False,2.969506071410022,0.002647098947087103,0.0025707600707061008
