name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric,phase
r09_c12_k352,broadcast,9,12,352,108,44,True,45.94743728637695,21.763999453708205,108,5,0,3662,42.15554094314575,,post_route_report_json,deployment
r09_c12_k480,broadcast,9,12,480,108,44,True,46.33705520629883,21.58100025018562,108,5,0,3662,45.38184189796448,,post_route_report_json,deployment
r12_c09_k352,broadcast,12,9,352,108,44,True,45.8043212890625,21.83200125789851,108,5,0,3663,38.74157977104187,,post_route_report_json,deployment
r12_c09_k480,broadcast,12,9,480,108,44,True,45.169158935546875,22.138999785825717,108,5,0,3663,38.03508424758911,,post_route_report_json,deployment
r10_c15_k352,broadcast,10,15,352,150,44,True,44.241912841796875,22.60300099536531,150,7,0,5033,54.83064341545105,,post_route_report_json,deployment
r10_c15_k480,broadcast,10,15,480,150,44,True,45.22431182861328,22.112000372492194,150,7,0,5033,63.31558394432068,,post_route_report_json,deployment
r15_c10_k352,broadcast,15,10,352,150,44,True,44.86316680908203,22.290000263591768,150,7,0,5037,57.446666955947876,,post_route_report_json,deployment
r15_c10_k480,broadcast,15,10,480,150,44,True,45.7938346862793,21.837000697817057,150,7,0,5037,54.478511333465576,,post_route_report_json,deployment
r09_c12_k352,broadcast,9,12,352,108,45,True,46.53543472290039,21.489000929175663,108,5,0,3662,39.062910079956055,,post_route_report_json,deployment
r09_c12_k480,broadcast,9,12,480,108,45,True,45.682960510253906,21.889999878084566,108,5,0,3662,39.460773944854736,,post_route_report_json,deployment
r12_c09_k352,broadcast,12,9,352,108,45,True,46.957176208496094,21.295999477478528,108,5,0,3663,51.8870108127594,,post_route_report_json,deployment
r12_c09_k480,broadcast,12,9,480,108,45,True,48.787628173828125,20.496999699125464,108,5,0,3663,39.860344648361206,,post_route_report_json,deployment
r10_c15_k352,broadcast,10,15,352,150,45,True,44.17546844482422,22.6369982074783,150,7,0,5033,56.76568365097046,,post_route_report_json,deployment
r10_c15_k480,broadcast,10,15,480,150,45,True,43.6033821105957,22.934000795250196,150,7,0,5033,71.32631158828735,,post_route_report_json,deployment
r15_c10_k352,broadcast,15,10,352,150,45,True,46.7967643737793,21.36899876266467,150,7,0,5037,57.91614651679993,,post_route_report_json,deployment
r15_c10_k480,broadcast,15,10,480,150,45,True,41.35136032104492,24.183001290312344,150,7,0,5037,75.97343635559082,,post_route_report_json,deployment
r09_c12_k352,broadcast,9,12,352,108,46,True,49.74381637573242,20.103001194091153,108,5,0,3662,40.961883306503296,,post_route_report_json,deployment
