name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric
r09_c09_k192,broadcast,9,9,192,81,32,True,47.43608093261719,21.08099953325607,81,4,0,2776,20.754031896591187,,post_route_report_json
r09_c09_k384,broadcast,9,9,384,81,32,True,46.910919189453125,21.316998628004452,81,4,0,2778,22.466601610183716,,post_route_report_json
r09_c13_k192,broadcast,9,13,192,117,32,True,47.067684173583984,21.245999618592553,117,5,0,3954,44.33984327316284,,post_route_report_json
r09_c13_k384,broadcast,9,13,384,117,32,True,43.72540283203125,22.870000851483187,117,5,0,3956,57.13132905960083,,post_route_report_json
r13_c09_k192,broadcast,13,9,192,117,32,True,45.006526947021484,22.21899950594121,117,5,0,3957,38.69735622406006,,post_route_report_json
r13_c09_k384,broadcast,13,9,384,117,32,True,43.85580062866211,22.80200077675578,117,5,0,3959,35.40101885795593,,post_route_report_json
r11_c13_k192,broadcast,11,13,192,143,32,True,44.59507751464844,22.42399959214161,143,6,0,4801,51.9828724861145,,post_route_report_json
r11_c13_k384,broadcast,11,13,384,143,32,True,45.45661163330078,21.999000014937675,143,6,0,4803,52.00399112701416,,post_route_report_json
r13_c11_k192,broadcast,13,11,192,143,32,True,44.47013854980469,22.486999874759597,143,6,0,4803,43.74179124832153,,post_route_report_json
r13_c11_k384,broadcast,13,11,384,143,32,True,44.12283706665039,22.664000469630626,143,6,0,4805,53.36803913116455,,post_route_report_json
r09_c09_k192,broadcast,9,9,192,81,33,True,48.22763442993164,20.735000001977443,81,4,0,2776,27.163408756256104,,post_route_report_json
r09_c09_k384,broadcast,9,9,384,81,33,True,50.112754821777344,19.95499955163976,81,4,0,2778,28.7180016040802,,post_route_report_json
r09_c13_k192,broadcast,9,13,192,117,33,True,46.010860443115234,21.73399911171697,117,5,0,3954,42.312859773635864,,post_route_report_json
r09_c13_k384,broadcast,9,13,384,117,33,True,46.3821907043457,21.559999319012473,117,5,0,3956,59.21189093589783,,post_route_report_json
r13_c09_k192,broadcast,13,9,192,117,33,True,43.42539596557617,23.027999578696114,117,5,0,3957,46.078394174575806,,post_route_report_json
r13_c09_k384,broadcast,13,9,384,117,33,True,44.39905548095703,22.523001653242485,117,5,0,3959,57.70396685600281,,post_route_report_json
r11_c13_k192,broadcast,11,13,192,143,33,True,48.2928466796875,20.707000492903454,143,6,0,4801,59.6441593170166,,post_route_report_json
r11_c13_k384,broadcast,11,13,384,143,33,True,45.9791259765625,21.74899976371326,143,6,0,4803,59.9680495262146,,post_route_report_json
r13_c11_k192,broadcast,13,11,192,143,33,True,47.18539047241211,21.193000417887188,143,6,0,4803,54.71125078201294,,post_route_report_json
r13_c11_k384,broadcast,13,11,384,143,33,True,44.06645202636719,22.693000094531083,143,6,0,4805,55.99744629859924,,post_route_report_json
r09_c09_k192,broadcast,9,9,192,81,34,True,51.20065689086914,19.530999419234693,81,4,0,2776,27.30467438697815,,post_route_report_json
r09_c09_k384,broadcast,9,9,384,81,34,True,49.649967193603516,20.141000216588896,81,4,0,2778,28.670064210891724,,post_route_report_json
r09_c13_k192,broadcast,9,13,192,117,34,True,47.02120590209961,21.267000299440376,117,5,0,3954,48.42778754234314,,post_route_report_json
r09_c13_k384,broadcast,9,13,384,117,34,True,44.10726547241211,22.672001750493298,117,5,0,3956,50.014535665512085,,post_route_report_json
r13_c09_k192,broadcast,13,9,192,117,34,True,45.14265060424805,22.152000084503175,117,5,0,3957,44.22581100463867,,post_route_report_json
r13_c09_k384,broadcast,13,9,384,117,34,True,47.123130798339844,21.221000877030654,117,5,0,3959,52.236560106277466,,post_route_report_json
r11_c13_k192,broadcast,11,13,192,143,34,True,41.33085250854492,24.19500056993152,143,6,0,4801,76.76144337654114,,post_route_report_json
r11_c13_k384,broadcast,11,13,384,143,34,True,48.042274475097656,20.8150011823096,143,6,0,4803,70.5113525390625,,post_route_report_json
r13_c11_k192,broadcast,13,11,192,143,34,True,45.605873107910156,21.927000446496308,143,6,0,4803,62.21165156364441,,post_route_report_json
r13_c11_k384,broadcast,13,11,384,143,34,True,44.59109878540039,22.426000417989496,143,6,0,4805,59.142324447631836,,post_route_report_json
r09_c09_k192,local,9,9,192,81,32,True,56.072669982910156,17.83400006286093,81,4,0,4651,33.73140740394592,,post_route_report_json
r09_c09_k384,local,9,9,384,81,32,True,59.84440612792969,16.70999955889436,81,4,0,4654,26.06033730506897,,post_route_report_json
r09_c13_k192,local,9,13,192,117,32,True,56.747249603271484,17.62199942712906,117,5,0,6739,47.07877969741821,,post_route_report_json
r09_c13_k384,local,9,13,384,117,32,True,56.67970275878906,17.643000074571397,117,5,0,6742,45.90862560272217,,post_route_report_json
r13_c09_k192,local,13,9,192,117,32,True,56.71827697753906,17.631001033335494,117,5,0,6745,59.739129066467285,,post_route_report_json
r13_c09_k384,local,13,9,384,117,32,True,62.084808349609375,16.106999869740143,117,5,0,6748,65.66952562332153,,post_route_report_json
r11_c13_k192,local,11,13,192,143,32,True,55.4785041809082,18.02499931755784,143,6,0,8155,86.70849370956421,,post_route_report_json
r11_c13_k384,local,11,13,384,143,32,True,59.445960998535156,16.82200074155823,143,6,0,8158,69.58662176132202,,post_route_report_json
r13_c11_k192,local,13,11,192,143,32,True,56.61552429199219,17.662999901626662,143,6,0,8159,71.6433572769165,,post_route_report_json
r13_c11_k384,local,13,11,384,143,32,True,55.472347259521484,18.026999927037632,143,6,0,8162,88.75473499298096,,post_route_report_json
r09_c09_k192,local,9,9,192,81,33,True,57.98109817504883,17.246999996118266,81,4,0,4651,34.10101079940796,,post_route_report_json
r09_c09_k384,local,9,9,384,81,33,True,57.79678726196289,17.301999771501453,81,4,0,4654,32.41276216506958,,post_route_report_json
r09_c13_k192,local,9,13,192,117,33,True,55.900272369384766,17.889000493451547,117,5,0,6739,66.9797637462616,,post_route_report_json
r09_c13_k384,local,9,13,384,117,33,True,51.867218017578125,19.280000706054714,117,5,0,6742,70.77824068069458,,post_route_report_json
r13_c09_k192,local,13,9,192,117,33,True,53.86479949951172,18.564999949717905,117,5,0,6745,63.52550172805786,,post_route_report_json
r13_c09_k384,local,13,9,384,117,33,True,54.91790008544922,18.208999223277935,117,5,0,6748,60.54980969429016,,post_route_report_json
r11_c13_k192,local,11,13,192,143,33,True,55.37711715698242,18.058000331891805,143,6,0,8155,75.28919100761414,,post_route_report_json
r11_c13_k384,local,11,13,384,143,33,True,59.16809844970703,16.900999460883494,143,6,0,8158,91.6387689113617,,post_route_report_json
r13_c11_k192,local,13,11,192,143,33,True,62.50390625,15.999000062496094,143,6,0,8159,80.5559606552124,,post_route_report_json
